,ds,y
776,2020-02-16,325281635
777,2020-02-17,321693764
778,2020-02-18,317235032
779,2020-02-19,313174467
780,2020-02-20,309759357
781,2020-02-21,296441193
782,2020-02-22,296866306
783,2020-02-23,314144249
784,2020-02-24,312210556
785,2020-02-25,304690441
786,2020-02-26,300630011
787,2020-02-27,301758893
788,2020-02-28,293026603
789,2020-02-29,295200965
790,2020-03-01,318856731
791,2020-03-02,310348110
792,2020-03-03,307484816
793,2020-03-04,304431650
794,2020-03-05,301752304
795,2020-03-06,298164587
796,2020-03-07,289651461
797,2020-03-08,309208029
798,2020-03-09,310713053
799,2020-03-10,304132367
800,2020-03-11,300053858
801,2020-03-12,287860709
802,2020-03-13,278904252
803,2020-03-14,287563627
804,2020-03-15,307431226
805,2020-03-16,287583759
806,2020-03-17,284529003
807,2020-03-18,287969083
808,2020-03-19,293991687
809,2020-03-20,303001687
810,2020-03-21,316944483
811,2020-03-22,330058752
812,2020-03-23,314767056
813,2020-03-24,322499380
814,2020-03-25,322034836
815,2020-03-26,329052739
816,2020-03-27,331781862
817,2020-03-28,343158521
818,2020-03-29,366672604
819,2020-03-30,346538299
820,2020-03-31,339639055
821,2020-04-01,345036778
822,2020-04-02,363572164
823,2020-04-03,362382283
824,2020-04-04,377694714
825,2020-04-05,386678760
826,2020-04-06,372673683
827,2020-04-07,358725797
828,2020-04-08,361540096
829,2020-04-09,373888317
830,2020-04-10,387365535
831,2020-04-11,374787811
832,2020-04-12,389832466
833,2020-04-13,386713177
834,2020-04-14,370467129
835,2020-04-15,360801393
836,2020-04-16,363517985
837,2020-04-17,370566470
838,2020-04-18,384117144
839,2020-04-19,392097332
840,2020-04-20,383872298
841,2020-04-21,380040469
842,2020-04-22,376834595
843,2020-04-23,373714228
844,2020-04-24,369577352
845,2020-04-25,380578938
846,2020-04-26,400173009
847,2020-04-27,390498991
848,2020-04-28,377018240
849,2020-04-29,384315863
850,2020-04-30,382262497
851,2020-05-01,366093368
852,2020-05-02,378095335
853,2020-05-03,389058822
854,2020-05-04,375907168
855,2020-05-05,372819343
856,2020-05-06,367263558
857,2020-05-07,358007361
858,2020-05-08,355508228
859,2020-05-09,369805146
860,2020-05-10,374658096
861,2020-05-11,361839912
862,2020-05-12,356295399
863,2020-05-13,351381993
864,2020-05-14,351628007
865,2020-05-15,344495323
866,2020-05-16,344778221
867,2020-05-17,359215559
868,2020-05-18,356467834
869,2020-05-19,348285397
870,2020-05-20,343957885
871,2020-05-21,335156968
872,2020-05-22,332556996
873,2020-05-23,347351011
874,2020-05-24,344625840
875,2020-05-25,350184433
876,2020-05-26,343259630
877,2020-05-27,339741259
878,2020-05-28,333188866
879,2020-05-29,325485160
880,2020-05-30,329779760
881,2020-05-31,341499973
882,2020-06-01,328808773
883,2020-06-02,327595575
884,2020-06-03,325019889
885,2020-06-04,326191687
886,2020-06-05,321382287
887,2020-06-06,325274332
888,2020-06-07,346411414
889,2020-06-08,337642371
890,2020-06-09,329874515
891,2020-06-10,331654381
892,2020-06-11,330444012
893,2020-06-12,323395733
894,2020-06-13,316805801
895,2020-06-14,335378851
896,2020-06-15,325345291
897,2020-06-16,324456791
898,2020-06-17,317637783
899,2020-06-18,318076624
900,2020-06-19,315155655
901,2020-06-20,315365080
902,2020-06-21,324829153
903,2020-06-22,318668474
904,2020-06-23,307362199
905,2020-06-24,304843975
906,2020-06-25,301669575
907,2020-06-26,298098618
908,2020-06-27,312031192
909,2020-06-28,321602866
910,2020-06-29,315418728
911,2020-06-30,306232246
912,2020-07-01,301567444
913,2020-07-02,304616009
914,2020-07-03,303296129
915,2020-07-04,324983901
916,2020-07-05,325362300
917,2020-07-06,322556817
918,2020-07-07,315431586
919,2020-07-08,315376829
920,2020-07-09,314674268
921,2020-07-10,308037079
922,2020-07-11,317531346
923,2020-07-12,321909509
924,2020-07-13,325405783
925,2020-07-14,314638513
926,2020-07-15,306725849
927,2020-07-16,307161161
928,2020-07-17,314789174
929,2020-07-18,318465022
930,2020-07-19,328088707
931,2020-07-20,318611390
932,2020-07-21,312013356
933,2020-07-22,306766065
934,2020-07-23,307694204
935,2020-07-24,304069906
936,2020-07-25,314413358
937,2020-07-26,329225053
938,2020-07-27,321018133
939,2020-07-28,312505368
940,2020-07-29,305078014
941,2020-07-30,302200188
942,2020-07-31,293093582
943,2020-08-01,298558746
944,2020-08-02,316923236
945,2020-08-03,301642936
946,2020-08-04,301673561
947,2020-08-05,305141101
948,2020-08-06,296871668
949,2020-08-07,288189222
950,2020-08-08,291691744
951,2020-08-09,315019560
952,2020-08-10,309838462
953,2020-08-11,306248503
954,2020-08-12,307225690
955,2020-08-13,302517914
956,2020-08-14,304060771
957,2020-08-15,306757386
958,2020-08-16,320032700
959,2020-08-17,307373600
960,2020-08-18,301948372
961,2020-08-19,304177572
962,2020-08-20,302521436
963,2020-08-21,301710940
964,2020-08-22,301519025
965,2020-08-23,319729980
966,2020-08-24,310803675
967,2020-08-25,307644892
968,2020-08-26,304089116
969,2020-08-27,303317720
970,2020-08-28,298830818
971,2020-08-29,314457197
972,2020-08-30,310782652
973,2020-08-31,307268207
974,2020-09-01,292993516
